variable_id,variable_name,dataset_id
cor_ali_ps_primary_identity_ind,cor_ali_ps_primary_identity_ind,cor_clean.offender_identity_d
cor_ali_cps_primary_identity_ind,cor_ali_cps_primary_identity_ind,cor_clean.offender_identity_d
cor_pro_programme_type_text,cor_pro_programme_type_text,cor_clean.ra_programmes
cor_off_external_ref_type_code,cor_off_external_ref_type_code,cor_clean.offender_d
cor_off_pref_ethnicity_code,cor_off_pref_ethnicity_code,cor_clean.offender_d
cor_mmp_period_nbr,cor_mmp_period_nbr,cor_clean.ra_ofndr_major_mgmt_period_a
cor_mmp_max_period_nbr,cor_mmp_max_period_nbr,cor_clean.ra_ofndr_major_mgmt_period_a
cor_mmp_period_start_date,cor_mmp_period_start_date,cor_clean.ra_ofndr_major_mgmt_period_a
cor_mmp_period_end_date,cor_mmp_period_end_date,cor_clean.ra_ofndr_major_mgmt_period_a
cor_mmp_mmc_code,cor_mmp_mmc_code,cor_clean.ra_ofndr_major_mgmt_period_a
cor_mmp_prev_mmc_code,cor_mmp_prev_mmc_code,cor_clean.ra_ofndr_major_mgmt_period_a
cor_mmp_next_mmc_code,cor_mmp_next_mmc_code,cor_clean.ra_ofndr_major_mgmt_period_a
cor_mmp_index_offence_code,cor_mmp_index_offence_code,cor_clean.ra_ofndr_major_mgmt_period_a
cor_mmp_imposed_sentence_length_nbr,cor_mmp_imposed_sentence_length_nbr,cor_clean.ra_ofndr_major_mgmt_period_a
cor_per_period_start_date,cor_per_period_start_date,cor_clean.ra_ofndr_mgmt_period_a
cor_per_period_end_date,cor_per_period_end_date,cor_clean.ra_ofndr_mgmt_period_a
cor_per_mmc_code,cor_per_mmc_code,cor_clean.ra_ofndr_mgmt_period_a
cor_per_index_offence_code,cor_per_index_offence_code,cor_clean.ra_ofndr_mgmt_period_a
cor_per_imposed_sentence_length,cor_per_imposed_sentence_length,cor_clean.ra_ofndr_mgmt_period_a
snz_uid,snz_uid,gss_clean.identity
gss_id_collection_code,gss_id_collection_code,gss_clean.identity
snz_gss_hhld_uid,snz_gss_hhld_uid,gss_clean.identity
snz_gss_uid,snz_gss_uid,gss_clean.identity
gss_id_dvage,gss_id_dvage,gss_clean.identity
gss_id_dvethnic,gss_id_dvethnic,gss_clean.identity
gss_id_dvethnic_code,gss_id_dvethnic_code,gss_clean.identity
gss_id_birth_month_nbr,gss_id_birth_month_nbr,gss_clean.identity
gss_id_birth_year_nbr,gss_id_birth_year_nbr,gss_clean.identity
gss_id_sex_snz_code,gss_id_sex_snz_code,gss_clean.identity
gss_id_person_number,gss_id_person_number,gss_clean.identity
gss_id_hqinterview_date,gss_id_hqinterview_date,gss_clean.identity
gss_id_pqinterview_date,gss_id_pqinterview_date,gss_clean.identity
gss_id_region_code,gss_id_region_code,gss_clean.identity
gss_id_ta_code,gss_id_ta_code,gss_clean.identity
gss_id_meshblock_code,gss_id_meshblock_code,gss_clean.identity
gss_id_meshblock_imputed_ind,gss_id_meshblock_imputed_ind,gss_clean.identity
snz_idi_address_register_uid,snz_idi_address_register_uid,gss_clean.identity
gss_hq_hhld_finalwgt_1-100,gss_hq_hhld_finalwgt_1-100,gss_clean.gss_household_2021
super_end_year_nbr int,NA,clean_read_hes.hes_networth_wealth
snz_hlfs_hhld_uid,NA,clean_read_hlfs.childcare_child_2009
snz_hlfs_uid,NA,clean_read_hlfs.childcare_child_2009
quarter_nbr,NA,clean_read_hlfs.childcare_child_2009
quarter_date,NA,clean_read_hlfs.childcare_child_2009
resp_person_nbr,NA,clean_read_hlfs.childcare_child_2009
child_person_nbr,NA,clean_read_hlfs.childcare_child_2009
childcare_estatus_code,NA,clean_read_hlfs.childcare_child_2009
child_wgt_nbr,NA,clean_read_hlfs.childcare_child_2009
cvdr_code,NA,clean_read_hlfs.childcare_child_2009
oss_or_ece_code,NA,clean_read_hlfs.childcare_child_2009
age_child_nbr,NA,clean_read_hlfs.childcare_child_2009
snz_sex_code,NA,clean_read_hlfs.childcare_child_2009
actual_hrs_all_jobs_nbr,NA,clean_read_hlfs.childcare_child_2009
usual_hrs_all_jobs_nbr,NA,clean_read_hlfs.childcare_child_2009
ethnic_grp1_snz_ind,NA,clean_read_hlfs.childcare_child_2009
ethnic_grp2_snz_ind,NA,clean_read_hlfs.childcare_child_2009
ethnic_grp3_snz_ind,NA,clean_read_hlfs.childcare_child_2009
ethnic_grp4_snz_ind,NA,clean_read_hlfs.childcare_child_2009
ethnic_grp5_snz_ind,NA,clean_read_hlfs.childcare_child_2009
ethnic_grp6_snz_ind,NA,clean_read_hlfs.childcare_child_2009
country_birth_code,NA,clean_read_hlfs.childcare_child_2009
yrs_in_nz_nbr,NA,clean_read_hlfs.childcare_child_2009
reg_council_area_code,NA,clean_read_hlfs.childcare_child_2009
rural_urban_code,NA,clean_read_hlfs.childcare_child_2009
comb_parental_lfs_code,NA,clean_read_hlfs.childcare_child_2009
care_type_code,NA,clean_read_hlfs.childcare_child_2009
no_for_myself_code,NA,clean_read_hlfs.childcare_child_2009
no_for_fam_code,NA,clean_read_hlfs.childcare_child_2009
no_for_waiting_code,NA,clean_read_hlfs.childcare_child_2009
no_for_nolocal_code,NA,clean_read_hlfs.childcare_child_2009
no_for_time_code,NA,clean_read_hlfs.childcare_child_2009
no_for_cost_code,NA,clean_read_hlfs.childcare_child_2009
no_for_sick_code,NA,clean_read_hlfs.childcare_child_2009
no_for_oth_code,NA,clean_read_hlfs.childcare_child_2009
no_schl_hol_myself_code,NA,clean_read_hlfs.childcare_child_2009
no_schl_hol_fam_code,NA,clean_read_hlfs.childcare_child_2009
no_schl_hol_noloc_code,NA,clean_read_hlfs.childcare_child_2009
no_schl_hol_othwk_code,NA,clean_read_hlfs.childcare_child_2009
no_schl_hol_time_code,NA,clean_read_hlfs.childcare_child_2009
no_schl_hol_cost_code,NA,clean_read_hlfs.childcare_child_2009
no_schl_hol_famhol_code,NA,clean_read_hlfs.childcare_child_2009
no_schl_hol_child_code,NA,clean_read_hlfs.childcare_child_2009
no_schl_hol_oth_code,NA,clean_read_hlfs.childcare_child_2009
no_schl_hol_resid_code,NA,clean_read_hlfs.childcare_child_2009
shp_run_schl_code,NA,clean_read_hlfs.childcare_child_2009
shp_run_local_code,NA,clean_read_hlfs.childcare_child_2009
shp_run_church_code,NA,clean_read_hlfs.childcare_child_2009
shp_run_work_code,NA,clean_read_hlfs.childcare_child_2009
shp_run_other_code,NA,clean_read_hlfs.childcare_child_2009
shp_run_nr_code,NA,clean_read_hlfs.childcare_child_2009
hol_paid_leave_code,NA,clean_read_hlfs.childcare_child_2009
hol_unpaid_leave_code,NA,clean_read_hlfs.childcare_child_2009
for_hol_hrs_mon_nbr,NA,clean_read_hlfs.childcare_child_2009
for_hol_hrs_tues_nbr,NA,clean_read_hlfs.childcare_child_2009
for_hol_hrs_wed_nbr,NA,clean_read_hlfs.childcare_child_2009
for_hol_hrs_thurs_nbr,NA,clean_read_hlfs.childcare_child_2009
for_hol_hrs_fri_nbr,NA,clean_read_hlfs.childcare_child_2009
for_hol_hrs_week_nbr,NA,clean_read_hlfs.childcare_child_2009
inf_hol_hrs_mon_nbr,NA,clean_read_hlfs.childcare_child_2009
inf_hol_hrs_tues_nbr,NA,clean_read_hlfs.childcare_child_2009
inf_hol_hrs_wed_nbr,NA,clean_read_hlfs.childcare_child_2009
inf_hol_hrs_thurs_nbr,NA,clean_read_hlfs.childcare_child_2009
inf_hol_hrs_fri_nbr,NA,clean_read_hlfs.childcare_child_2009
inf_hol_hrs_sat_nbr,NA,clean_read_hlfs.childcare_child_2009
inf_hol_hrs_sun_nbr,NA,clean_read_hlfs.childcare_child_2009
inf_hol_hrs_week_nbr,NA,clean_read_hlfs.childcare_child_2009
ece_hrs_tot_nbr,NA,clean_read_hlfs.childcare_child_2009
oss_hrs_tot_nbr,NA,clean_read_hlfs.childcare_child_2009
hol_hrs_tot_nbr,NA,clean_read_hlfs.childcare_child_2009
ece_cost_tot_nbr,NA,clean_read_hlfs.childcare_child_2009
oss_cost_tot_nbr,NA,clean_read_hlfs.childcare_child_2009
for_hol_cost_tot_nbr,NA,clean_read_hlfs.childcare_child_2009
inf_hol_cost_tot_nbr,NA,clean_read_hlfs.childcare_child_2009
hol_cost_tot_nbr,NA,clean_read_hlfs.childcare_child_2009
ece_20hrs_code,NA,clean_read_hlfs.childcare_child_2009
no_ece_20hrs_code,NA,clean_read_hlfs.childcare_child_2009
cc_subsidy_code,NA,clean_read_hlfs.childcare_child_2009
no_cc_subsidy_code,NA,clean_read_hlfs.childcare_child_2009
oscar_subsidy_code,NA,clean_read_hlfs.childcare_child_2009
no_oscar_subsidy_code,NA,clean_read_hlfs.childcare_child_2009
benefit_ppl_code,NA,clean_read_hlfs.childcare_child_2009
benefit_stuallow_code,NA,clean_read_hlfs.childcare_child_2009
benefit_wffas_code,NA,clean_read_hlfs.childcare_child_2009
benefit_ub_code,NA,clean_read_hlfs.childcare_child_2009
benefit_dpb_code,NA,clean_read_hlfs.childcare_child_2009
benefit_ib_code,NA,clean_read_hlfs.childcare_child_2009
benefit_sb_code,NA,clean_read_hlfs.childcare_child_2009
benefit_other_code,NA,clean_read_hlfs.childcare_child_2009
income_less_40_code,NA,clean_read_hlfs.childcare_child_2009
income_band_code,NA,clean_read_hlfs.childcare_child_2009
caregiver_respstat_text,NA,clean_read_hlfs.childcare_child_2009
no_for_residual_code,NA,clean_read_hlfs.childcare_child_2009
schoolgoer_code,NA,clean_read_hlfs.childcare_child_2009
type_of_care_code,NA,clean_read_hlfs.childcare_child_2009
no_for_reason_code,NA,clean_read_hlfs.childcare_child_2009
no_schl_hol_code,NA,clean_read_hlfs.childcare_child_2009
resp_parent_snz_sex_code,NA,clean_read_hlfs.childcare_child_2009
formal_cost_tot_nbr,NA,clean_read_hlfs.childcare_child_2009
inf_cost_tot_nbr,NA,clean_read_hlfs.childcare_child_2009
for_hrs_mon_nbr,NA,clean_read_hlfs.childcare_child_2009
for_hrs_tues_nbr,NA,clean_read_hlfs.childcare_child_2009
for_hrs_wed_nbr,NA,clean_read_hlfs.childcare_child_2009
for_hrs_thurs_nbr,NA,clean_read_hlfs.childcare_child_2009
for_hrs_fri_nbr,NA,clean_read_hlfs.childcare_child_2009
for_hrs_week_nbr,NA,clean_read_hlfs.childcare_child_2009
inf_hrs_mon_nbr,NA,clean_read_hlfs.childcare_child_2009
inf_hrs_tues_nbr,NA,clean_read_hlfs.childcare_child_2009
inf_hrs_wed_nbr,NA,clean_read_hlfs.childcare_child_2009
inf_hrs_thurs_nbr,NA,clean_read_hlfs.childcare_child_2009
inf_hrs_fri_nbr,NA,clean_read_hlfs.childcare_child_2009
inf_hrs_sat_nbr,NA,clean_read_hlfs.childcare_child_2009
inf_hrs_sun_nbr,NA,clean_read_hlfs.childcare_child_2009
inf_hrs_week_nbr,NA,clean_read_hlfs.childcare_child_2009
age_resp_parent_nbr,NA,clean_read_hlfs.childcare_child_2009
kohanga_attend_code,NA,clean_read_hlfs.childcare_child_2009
pacisecc_attend_code,NA,clean_read_hlfs.childcare_child_2009
playcentre_attend_code,NA,clean_read_hlfs.childcare_child_2009
playgroup_attend_code,NA,clean_read_hlfs.childcare_child_2009
kindy_attend_code,NA,clean_read_hlfs.childcare_child_2009
other_cc_attend_code,NA,clean_read_hlfs.childcare_child_2009
homework_attend_code,NA,clean_read_hlfs.childcare_child_2009
bschool_attend_code,NA,clean_read_hlfs.childcare_child_2009
aschool_attend_code,NA,clean_read_hlfs.childcare_child_2009
for_hol_school_code,NA,clean_read_hlfs.childcare_child_2009
for_homebased_code,NA,clean_read_hlfs.childcare_child_2009
inf_hol_othpar_hrs_code,NA,clean_read_hlfs.childcare_child_2009
inf_hol_gparent_code,NA,clean_read_hlfs.childcare_child_2009
inf_hol_fam_code,NA,clean_read_hlfs.childcare_child_2009
inf_hol_friend_code,NA,clean_read_hlfs.childcare_child_2009
inf_hol_othercc_code,NA,clean_read_hlfs.childcare_child_2009
homebased_attend_code,NA,clean_read_hlfs.childcare_child_2009
inf_gparent_code,NA,clean_read_hlfs.childcare_child_2009
inf_othparent_code,NA,clean_read_hlfs.childcare_child_2009
inf_fam_code,NA,clean_read_hlfs.childcare_child_2009
inf_friend_code,NA,clean_read_hlfs.childcare_child_2009
inf_othcc_code,NA,clean_read_hlfs.childcare_child_2009
inf_nanny_code,NA,clean_read_hlfs.childcare_child_2009
kohanga_20hrs_nbr,NA,clean_read_hlfs.childcare_child_2009
pacis_20hrs_nbr,NA,clean_read_hlfs.childcare_child_2009
playcentre_20hrs_nbr,NA,clean_read_hlfs.childcare_child_2009
playgroup_20hrs_nbr,NA,clean_read_hlfs.childcare_child_2009
kindy_20hrs_nbr,NA,clean_read_hlfs.childcare_child_2009
homebased_20hrs_nbr,NA,clean_read_hlfs.childcare_child_2009
other_cc_20hrs_nbr,NA,clean_read_hlfs.childcare_child_2009
kohanga_hrs_nbr,NA,clean_read_hlfs.childcare_child_2009
pacis_hrs_nbr,NA,clean_read_hlfs.childcare_child_2009
playcentre_hrs_nbr,NA,clean_read_hlfs.childcare_child_2009
playgroup_hrs_nbr,NA,clean_read_hlfs.childcare_child_2009
kindy_hrs_nbr,NA,clean_read_hlfs.childcare_child_2009
other_cc_hrs_nbr,NA,clean_read_hlfs.childcare_child_2009
homeworks_hrs_nbr,NA,clean_read_hlfs.childcare_child_2009
bschool_hrs_nbr,NA,clean_read_hlfs.childcare_child_2009
aschool_hrs_nbr,NA,clean_read_hlfs.childcare_child_2009
hol_school_hrs_nbr,NA,clean_read_hlfs.childcare_child_2009
hol_homebased_hrs_nbr,NA,clean_read_hlfs.childcare_child_2009
hol_othparent_hrs_nbr,NA,clean_read_hlfs.childcare_child_2009
hol_gparent_hrs_nbr,NA,clean_read_hlfs.childcare_child_2009
hol_fam_hrs_nbr,NA,clean_read_hlfs.childcare_child_2009
hol_friend_hrs_nbr,NA,clean_read_hlfs.childcare_child_2009
hol_other_cc_hrs_nbr,NA,clean_read_hlfs.childcare_child_2009
homebase_care_hrs_nbr,NA,clean_read_hlfs.childcare_child_2009
gparent_hrs_nbr,NA,clean_read_hlfs.childcare_child_2009
othparent_hrs_nbr,NA,clean_read_hlfs.childcare_child_2009
fam_hrs_nbr,NA,clean_read_hlfs.childcare_child_2009
friend_hrs_nbr,NA,clean_read_hlfs.childcare_child_2009
oth_infcc_hrs_nbr,NA,clean_read_hlfs.childcare_child_2009
nanny_hrs_nbr,NA,clean_read_hlfs.childcare_child_2009
kohanga_cost_nbr,NA,clean_read_hlfs.childcare_child_2009
pacis_cost_nbr,NA,clean_read_hlfs.childcare_child_2009
playcentre_cost_nbr,NA,clean_read_hlfs.childcare_child_2009
playgroup_cost_nbr,NA,clean_read_hlfs.childcare_child_2009
kindy_cost_nbr,NA,clean_read_hlfs.childcare_child_2009
other_cc_cost_nbr,NA,clean_read_hlfs.childcare_child_2009
homework_cost_nbr,NA,clean_read_hlfs.childcare_child_2009
bschool_cost_nbr,NA,clean_read_hlfs.childcare_child_2009
aschool_cost_nbr,NA,clean_read_hlfs.childcare_child_2009
hol_schl_cost_nbr,NA,clean_read_hlfs.childcare_child_2009
hol_homebased_cost_nbr,NA,clean_read_hlfs.childcare_child_2009
hol_othparent_cost_nbr,NA,clean_read_hlfs.childcare_child_2009
hol_gparent_cost_nbr,NA,clean_read_hlfs.childcare_child_2009
hol_fam_cost_nbr,NA,clean_read_hlfs.childcare_child_2009
hol_friend_cost_nbr,NA,clean_read_hlfs.childcare_child_2009
hol_othercc_cost_nbr,NA,clean_read_hlfs.childcare_child_2009
homebased_cost_nbr,NA,clean_read_hlfs.childcare_child_2009
gparent_cost_nbr,NA,clean_read_hlfs.childcare_child_2009
othparent_cost_nbr,NA,clean_read_hlfs.childcare_child_2009
fam_cost_nbr,NA,clean_read_hlfs.childcare_child_2009
friend_cost_nbr,NA,clean_read_hlfs.childcare_child_2009
oth_infcc_cost_nbr,NA,clean_read_hlfs.childcare_child_2009
nanny_cost_nbr,NA,clean_read_hlfs.childcare_child_2009
ece_20hrs_tot_nbr,NA,clean_read_hlfs.childcare_child_2009
sing_mult_arrange_code,NA,clean_read_hlfs.childcare_child_2009
shp_run_cc_code,NA,clean_read_hlfs.childcare_child_2009
shp_run_sport_code,NA,clean_read_hlfs.childcare_child_2009
snz_hlfs_hhld_uid,NA,clean_read_hlfs.childcare_child_2017
snz_hlfs_uid,NA,clean_read_hlfs.childcare_child_2017
quarter_nbr,NA,clean_read_hlfs.childcare_child_2017
quarter_date,NA,clean_read_hlfs.childcare_child_2017
pq_status_code,NA,clean_read_hlfs.childcare_child_2017
pg_interview_date,NA,clean_read_hlfs.childcare_child_2017
proxy_code,NA,clean_read_hlfs.childcare_child_2017
sel_child_nbr,NA,clean_read_hlfs.childcare_child_2017
partnr_nbr,NA,clean_read_hlfs.childcare_child_2017
cvdr_code,NA,clean_read_hlfs.childcare_child_2017
age_child_nbr,NA,clean_read_hlfs.childcare_child_2017
age_child_nr_code,NA,clean_read_hlfs.childcare_child_2017
age_grp_code,NA,clean_read_hlfs.childcare_child_2017
snz_sex_code,NA,clean_read_hlfs.childcare_child_2017
ethnic_grp1_snz_ind,NA,clean_read_hlfs.childcare_child_2017
ethnic_grp2_snz_ind,NA,clean_read_hlfs.childcare_child_2017
ethnic_grp3_snz_ind,NA,clean_read_hlfs.childcare_child_2017
ethnic_grp4_snz_ind,NA,clean_read_hlfs.childcare_child_2017
ethnic_grp5_snz_ind,NA,clean_read_hlfs.childcare_child_2017
ethnic_grp6_snz_ind,NA,clean_read_hlfs.childcare_child_2017
region_code,NA,clean_read_hlfs.childcare_child_2017
ta_code,NA,clean_read_hlfs.childcare_child_2017
urban_area_code,NA,clean_read_hlfs.childcare_child_2017
comb_parental_lfs_code,NA,clean_read_hlfs.childcare_child_2017
children_in_care_nbr,NA,clean_read_hlfs.childcare_child_2017
ece_oss_code,NA,clean_read_hlfs.childcare_child_2017
formal_lastweek_code,NA,clean_read_hlfs.childcare_child_2017
infor_lastweek_code,NA,clean_read_hlfs.childcare_child_2017
care_type_code,NA,clean_read_hlfs.childcare_child_2017
sing_mult_arrange_code,NA,clean_read_hlfs.childcare_child_2017
kohanga_attend_code,NA,clean_read_hlfs.childcare_child_2017
pacisecc_attend_code,NA,clean_read_hlfs.childcare_child_2017
playcentre_attend_code,NA,clean_read_hlfs.childcare_child_2017
playgroup_attend_code,NA,clean_read_hlfs.childcare_child_2017
kindy_attend_code,NA,clean_read_hlfs.childcare_child_2017
other_cc_attend_code,NA,clean_read_hlfs.childcare_child_2017
homebased_attend_code,NA,clean_read_hlfs.childcare_child_2017
homework_attend_code,NA,clean_read_hlfs.childcare_child_2017
bschool_attend_code,NA,clean_read_hlfs.childcare_child_2017
aschool_attend_code,NA,clean_read_hlfs.childcare_child_2017
schoolgoer_code,NA,clean_read_hlfs.childcare_child_2017
no_for_myself_code,NA,clean_read_hlfs.childcare_child_2017
no_for_fam_code,NA,clean_read_hlfs.childcare_child_2017
no_for_waiting_code,NA,clean_read_hlfs.childcare_child_2017
no_for_nolocal_code,NA,clean_read_hlfs.childcare_child_2017
no_for_time_code,NA,clean_read_hlfs.childcare_child_2017
no_for_cost_code,NA,clean_read_hlfs.childcare_child_2017
no_for_sick_code,NA,clean_read_hlfs.childcare_child_2017
no_for_oth_code,NA,clean_read_hlfs.childcare_child_2017
no_for_residual_code,NA,clean_read_hlfs.childcare_child_2017
no_for_main_code,NA,clean_read_hlfs.childcare_child_2017
for_reason_work_code,NA,clean_read_hlfs.childcare_child_2017
for_reason_study_code,NA,clean_read_hlfs.childcare_child_2017
for_reason_volun_code,NA,clean_read_hlfs.childcare_child_2017
for_reason_leis_code,NA,clean_read_hlfs.childcare_child_2017
for_reason_mix_code,NA,clean_read_hlfs.childcare_child_2017
for_reason_edu_code,NA,clean_read_hlfs.childcare_child_2017
for_reason_cul_code,NA,clean_read_hlfs.childcare_child_2017
for_reason_oth_code,NA,clean_read_hlfs.childcare_child_2017
for_reason_resid_code,NA,clean_read_hlfs.childcare_child_2017
for_reason_main_code,NA,clean_read_hlfs.childcare_child_2017
satisch_kohanga_code,NA,clean_read_hlfs.childcare_child_2017
satisad_kohanga_code,NA,clean_read_hlfs.childcare_child_2017
satisact_kohanga_code,NA,clean_read_hlfs.childcare_child_2017
satisch_pacis_code,NA,clean_read_hlfs.childcare_child_2017
satisad_pacis_code,NA,clean_read_hlfs.childcare_child_2017
satisact_pacis_code,NA,clean_read_hlfs.childcare_child_2017
satisch_kindy_code,NA,clean_read_hlfs.childcare_child_2017
satisad_kindy_code,NA,clean_read_hlfs.childcare_child_2017
satisact_kindy_code,NA,clean_read_hlfs.childcare_child_2017
satisch_homebased_code,NA,clean_read_hlfs.childcare_child_2017
satisad_homebased_code,NA,clean_read_hlfs.childcare_child_2017
satisact_homebased_code,NA,clean_read_hlfs.childcare_child_2017
satisch_othercc_code,NA,clean_read_hlfs.childcare_child_2017
satisad_othercc_code,NA,clean_read_hlfs.childcare_child_2017
satisact_othercc_code,NA,clean_read_hlfs.childcare_child_2017
homeworks_hrs_nbr,NA,clean_read_hlfs.childcare_child_2017
bschool_hrs_nbr,NA,clean_read_hlfs.childcare_child_2017
aschool_hrs_nbr,NA,clean_read_hlfs.childcare_child_2017
homeoss_care_hrs_nbr,NA,clean_read_hlfs.childcare_child_2017
kohanga_hrs_nbr,NA,clean_read_hlfs.childcare_child_2017
pacis_hrs_nbr,NA,clean_read_hlfs.childcare_child_2017
playcentre_hrs_nbr,NA,clean_read_hlfs.childcare_child_2017
playgroup_hrs_nbr,NA,clean_read_hlfs.childcare_child_2017
kindy_hrs_nbr,NA,clean_read_hlfs.childcare_child_2017
homeece_care_hrs_nbr,NA,clean_read_hlfs.childcare_child_2017
other_cc_hrs_nbr,NA,clean_read_hlfs.childcare_child_2017
homework_cost_code,NA,clean_read_hlfs.childcare_child_2017
bschool_cost_code,NA,clean_read_hlfs.childcare_child_2017
aschool_cost_code,NA,clean_read_hlfs.childcare_child_2017
homebased_cost_code,NA,clean_read_hlfs.childcare_child_2017
kohanga_cost_code,NA,clean_read_hlfs.childcare_child_2017
pacis_cost_code,NA,clean_read_hlfs.childcare_child_2017
playcentre_cost_code,NA,clean_read_hlfs.childcare_child_2017
playgroup_cost_code,NA,clean_read_hlfs.childcare_child_2017
kindy_cost_code,NA,clean_read_hlfs.childcare_child_2017
othercc_cost_code,NA,clean_read_hlfs.childcare_child_2017
homework_cost_nbr,NA,clean_read_hlfs.childcare_child_2017
bschool_cost_nbr,NA,clean_read_hlfs.childcare_child_2017
aschool_cost_nbr,NA,clean_read_hlfs.childcare_child_2017
homebaseoss_cost_nbr,NA,clean_read_hlfs.childcare_child_2017
kohanga_cost_nbr,NA,clean_read_hlfs.childcare_child_2017
pacis_cost_nbr,NA,clean_read_hlfs.childcare_child_2017
playcentre_cost_nbr,NA,clean_read_hlfs.childcare_child_2017
playgroup_cost_nbr,NA,clean_read_hlfs.childcare_child_2017
kindy_cost_nbr,NA,clean_read_hlfs.childcare_child_2017
homebaseece_cost_nbr,NA,clean_read_hlfs.childcare_child_2017
othcc_cost_nbr,NA,clean_read_hlfs.childcare_child_2017
ece_cost_tot_nbr,NA,clean_read_hlfs.childcare_child_2017
oss_cost_tot_nbr,NA,clean_read_hlfs.childcare_child_2017
formal_cost_tot_nbr,NA,clean_read_hlfs.childcare_child_2017
gparent_lastweek_code,NA,clean_read_hlfs.childcare_child_2017
othparent_lastweek_code,NA,clean_read_hlfs.childcare_child_2017
fam_lastweek_code,NA,clean_read_hlfs.childcare_child_2017
friend_lastweek_code,NA,clean_read_hlfs.childcare_child_2017
nanny_lastweek_code,NA,clean_read_hlfs.childcare_child_2017
othercc_lastweek_code,NA,clean_read_hlfs.childcare_child_2017
gparent_hrs_nbr,NA,clean_read_hlfs.childcare_child_2017
othparent_hrs_nbr,NA,clean_read_hlfs.childcare_child_2017
fam_hrs_nbr,NA,clean_read_hlfs.childcare_child_2017
friend_hrs_nbr,NA,clean_read_hlfs.childcare_child_2017
nanny_hrs_nbr,NA,clean_read_hlfs.childcare_child_2017
othercc_hrs_nbr,NA,clean_read_hlfs.childcare_child_2017
ece_hrs_tot_nbr,NA,clean_read_hlfs.childcare_child_2017
oss_hrs_tot_nbr,NA,clean_read_hlfs.childcare_child_2017
formal_hrs_tot_nbr,NA,clean_read_hlfs.childcare_child_2017
informal_hrs_tot_nbr,NA,clean_read_hlfs.childcare_child_2017
care_hrs_tot_nbr,NA,clean_read_hlfs.childcare_child_2017
gparent_cost_code,NA,clean_read_hlfs.childcare_child_2017
fam_cost_code,NA,clean_read_hlfs.childcare_child_2017
friend_cost_code,NA,clean_read_hlfs.childcare_child_2017
nanny_cost_code,NA,clean_read_hlfs.childcare_child_2017
other_inf_cost_code,NA,clean_read_hlfs.childcare_child_2017
gparent_cost_nbr,NA,clean_read_hlfs.childcare_child_2017
fam_cost_nbr,NA,clean_read_hlfs.childcare_child_2017
friend_cost_nbr,NA,clean_read_hlfs.childcare_child_2017
nanny_cost_nbr,NA,clean_read_hlfs.childcare_child_2017
other_inf_cost_nbr,NA,clean_read_hlfs.childcare_child_2017
informal_cost_nbr,NA,clean_read_hlfs.childcare_child_2017
