"id","schema","table_name","variable_name","collection","agency","description"
40,"ir_ird_to_ent_and_kau_202103","ir_ird_to_ent_and_kau_202102","kau_valid_from_month","Enterprise and Kind-of-activity units","IRD",NA
41,"ir_ird_to_ent_and_kau_202103","ir_ird_to_ent_and_kau_202102","kau_valid_to_month","Enterprise and Kind-of-activity units","IRD",NA
42,"ir_ird_to_ent_and_kau_202103","ir_ird_to_ent_and_kau_202102","snz_ird_uid","Enterprise and Kind-of-activity units","IRD",NA
43,"clean_read_LEED","fact_ann_empl_2013_ZP","dss_update_time","Longitudinal Employee-Employer Database","IRD",NA
44,"clean_read_LEED","fact_ann_empl_2013_ZP","employee_snz_ird_uid","Longitudinal Employee-Employer Database","IRD",NA
45,"clean_read_LEED","fact_ann_empl_2013_ZP","employee_snz_uid","Longitudinal Employee-Employer Database","IRD",NA
46,"clean_read_LEED","fact_ann_empl_2013_ZP","income_amt","Longitudinal Employee-Employer Database","IRD",NA
47,"clean_read_LEED","fact_ann_empl_2013_ZP","income_source_code","Longitudinal Employee-Employer Database","IRD",NA
48,"clean_read_LEED","fact_ann_empl_2013_ZP","months_receiving_income_nbr","Longitudinal Employee-Employer Database","IRD",NA
49,"clean_read_LEED","fact_ann_empl_2013_ZP","percentage_of_total_income_nbr","Longitudinal Employee-Employer Database","IRD",NA
50,"clean_read_LEED","fact_ann_empl_2013_ZP","raw_income_amt","Longitudinal Employee-Employer Database","IRD",NA
51,"clean_read_LEED","fact_ann_empl_2013_ZP","tax_year_nbr","Longitudinal Employee-Employer Database","IRD",NA
52,"clean_read_LEED","fact_ann_employee_income_2013","dss_update_time","Longitudinal Employee-Employer Database","IRD",NA
53,"clean_read_LEED","fact_ann_employee_income_2013","employee_ird_uid","Longitudinal Employee-Employer Database","IRD",NA
54,"clean_read_LEED","fact_ann_employee_income_2013","income_amt","Longitudinal Employee-Employer Database","IRD",NA
55,"clean_read_LEED","fact_ann_employee_income_2013","income_source_code","Longitudinal Employee-Employer Database","IRD",NA
56,"clean_read_LEED","fact_ann_employee_income_2013","months_receiving_income_nbr","Longitudinal Employee-Employer Database","IRD",NA
57,"clean_read_LEED","fact_ann_employee_income_2013","percentage_of_total_income_nbr","Longitudinal Employee-Employer Database","IRD",NA
58,"clean_read_LEED","fact_ann_employee_income_2013","raw_income_amt","Longitudinal Employee-Employer Database","IRD",NA
59,"clean_read_LEED","fact_ann_employee_income_2013","tax_year_nbr","Longitudinal Employee-Employer Database","IRD",NA
60,"clean_read_LEED","fact_ann_self_emp_2013_ZP","dss_update_time","Longitudinal Employee-Employer Database","IRD",NA
61,"clean_read_LEED","fact_ann_self_emp_2013_ZP","include_in_output_ind","Longitudinal Employee-Employer Database","IRD",NA
62,"clean_read_LEED","fact_ann_self_emp_2013_ZP","income_amt","Longitudinal Employee-Employer Database","IRD",NA
63,"clean_read_LEED","fact_ann_self_emp_2013_ZP","income_type_code","Longitudinal Employee-Employer Database","IRD",NA
64,"clean_read_LEED","fact_ann_self_emp_2013_ZP","payee_anzsic06_code","Longitudinal Employee-Employer Database","IRD",NA
65,"clean_read_LEED","fact_ann_self_emp_2013_ZP","payee_anzsic96_code","Longitudinal Employee-Employer Database","IRD",NA
66,"clean_read_LEED","fact_ann_self_emp_2013_ZP","payee_dim_firm_size_key","Longitudinal Employee-Employer Database","IRD",NA
67,"clean_read_LEED","fact_ann_self_emp_2013_ZP","payee_enterprise_nbr","Longitudinal Employee-Employer Database","IRD",NA
68,"clean_read_LEED","fact_ann_self_emp_2013_ZP","payee_enterprise_nbr_imp_code","Longitudinal Employee-Employer Database","IRD",NA
69,"clean_read_LEED","fact_ann_self_emp_2013_ZP","payee_firm_size_imp_code","Longitudinal Employee-Employer Database","IRD",NA
70,"clean_read_LEED","fact_ann_self_emp_2013_ZP","payee_snz_ird_uid","Longitudinal Employee-Employer Database","IRD",NA
71,"clean_read_LEED","fact_ann_self_emp_2013_ZP","payee_snz_uid","Longitudinal Employee-Employer Database","IRD",NA
72,"clean_read_LEED","fact_ann_self_emp_2013_ZP","payer_anzsic06_code","Longitudinal Employee-Employer Database","IRD",NA
73,"clean_read_LEED","fact_ann_self_emp_2013_ZP","payer_anzsic96_code","Longitudinal Employee-Employer Database","IRD",NA
74,"clean_read_LEED","fact_ann_self_emp_2013_ZP","payer_dim_firm_size_key","Longitudinal Employee-Employer Database","IRD",NA
75,"clean_read_LEED","fact_ann_self_emp_2013_ZP","payer_enterprise_nbr","Longitudinal Employee-Employer Database","IRD",NA
76,"clean_read_LEED","fact_ann_self_emp_2013_ZP","payer_enterprise_nbr_imp_code","Longitudinal Employee-Employer Database","IRD",NA
77,"clean_read_LEED","fact_ann_self_emp_2013_ZP","payer_firm_size_imp_code","Longitudinal Employee-Employer Database","IRD",NA
78,"clean_read_LEED","fact_ann_self_emp_2013_ZP","payer_snz_ird_uid","Longitudinal Employee-Employer Database","IRD",NA
79,"clean_read_LEED","fact_ann_self_emp_2013_ZP","payer_snz_uid","Longitudinal Employee-Employer Database","IRD",NA
80,"clean_read_LEED","fact_ann_self_emp_2013_ZP","tax_year_nbr","Longitudinal Employee-Employer Database","IRD",NA
81,"clean_read_LEED","fact_ann_self_emp_2013_ZP","working_prop_anzsic06_code","Longitudinal Employee-Employer Database","IRD",NA
82,"clean_read_LEED","fact_ann_self_emp_2013_ZP","working_prop_anzsic96_code","Longitudinal Employee-Employer Database","IRD",NA
83,"clean_read_LEED","fact_ann_self_emp_2013_ZP","working_prop_dim_firm_size_key","Longitudinal Employee-Employer Database","IRD",NA
84,"clean_read_LEED","fact_ann_self_emp_2013_ZP","working_prop_enterprise_nbr","Longitudinal Employee-Employer Database","IRD",NA
85,"clean_read_LEED","fact_ann_self_emp_2013_ZP","working_prop_enterprise_nbr_imp_code","Longitudinal Employee-Employer Database","IRD",NA
86,"clean_read_LEED","fact_ann_self_emp_2013_ZP","working_prop_firm_ird_uid","Longitudinal Employee-Employer Database","IRD",NA
87,"clean_read_LEED","fact_ann_self_emp_2013_ZP","working_prop_firm_size_imp_code","Longitudinal Employee-Employer Database","IRD",NA
88,"clean_read_LEED","fact_ann_self_employed_income_2013","dss_update_time","Longitudinal Employee-Employer Database","IRD",NA
89,"clean_read_LEED","fact_ann_self_employed_income_2013","include_in_output_ind","Longitudinal Employee-Employer Database","IRD",NA
90,"clean_read_LEED","fact_ann_self_employed_income_2013","income_amt","Longitudinal Employee-Employer Database","IRD",NA
91,"clean_read_LEED","fact_ann_self_employed_income_2013","income_type_code","Longitudinal Employee-Employer Database","IRD",NA
92,"clean_read_LEED","fact_ann_self_employed_income_2013","payee_anzsic06_code","Longitudinal Employee-Employer Database","IRD",NA
93,"clean_read_LEED","fact_ann_self_employed_income_2013","payee_anzsic96_code","Longitudinal Employee-Employer Database","IRD",NA
94,"clean_read_LEED","fact_ann_self_employed_income_2013","payee_dim_firm_size_key","Longitudinal Employee-Employer Database","IRD",NA
95,"clean_read_LEED","fact_ann_self_employed_income_2013","payee_enterprise_nbr","Longitudinal Employee-Employer Database","IRD",NA
96,"clean_read_LEED","fact_ann_self_employed_income_2013","payee_enterprise_nbr_imp_code","Longitudinal Employee-Employer Database","IRD",NA
97,"clean_read_LEED","fact_ann_self_employed_income_2013","payee_firm_size_imp_code","Longitudinal Employee-Employer Database","IRD",NA
98,"clean_read_LEED","fact_ann_self_employed_income_2013","payee_ird_uid","Longitudinal Employee-Employer Database","IRD",NA
99,"clean_read_LEED","fact_ann_self_employed_income_2013","payer_anzsic06_code","Longitudinal Employee-Employer Database","IRD",NA
100,"clean_read_LEED","fact_ann_self_employed_income_2013","payer_anzsic96_code","Longitudinal Employee-Employer Database","IRD",NA
101,"clean_read_LEED","fact_ann_self_employed_income_2013","payer_dim_firm_size_key","Longitudinal Employee-Employer Database","IRD",NA
102,"clean_read_LEED","fact_ann_self_employed_income_2013","payer_enterprise_nbr","Longitudinal Employee-Employer Database","IRD",NA
103,"clean_read_LEED","fact_ann_self_employed_income_2013","payer_enterprise_nbr_imp_code","Longitudinal Employee-Employer Database","IRD",NA
104,"clean_read_LEED","fact_ann_self_employed_income_2013","payer_firm_size_imp_code","Longitudinal Employee-Employer Database","IRD",NA
105,"clean_read_LEED","fact_ann_self_employed_income_2013","payer_ird_uid","Longitudinal Employee-Employer Database","IRD",NA
106,"clean_read_LEED","fact_ann_self_employed_income_2013","tax_year_nbr","Longitudinal Employee-Employer Database","IRD",NA
107,"clean_read_LEED","fact_ann_self_employed_income_2013","working_prop_anzsic06_code","Longitudinal Employee-Employer Database","IRD",NA
108,"clean_read_LEED","fact_ann_self_employed_income_2013","working_prop_anzsic96_code","Longitudinal Employee-Employer Database","IRD",NA
109,"clean_read_LEED","fact_ann_self_employed_income_2013","working_prop_dim_firm_size_key","Longitudinal Employee-Employer Database","IRD",NA
110,"clean_read_LEED","fact_ann_self_employed_income_2013","working_prop_enterprise_nbr","Longitudinal Employee-Employer Database","IRD",NA
111,"clean_read_LEED","fact_ann_self_employed_income_2013","working_prop_enterprise_nbr_imp_code","Longitudinal Employee-Employer Database","IRD",NA
112,"clean_read_LEED","fact_ann_self_employed_income_2013","working_prop_firm_ird_uid","Longitudinal Employee-Employer Database","IRD",NA
113,"clean_read_LEED","fact_ann_self_employed_income_2013","working_prop_firm_size_imp_code","Longitudinal Employee-Employer Database","IRD",NA
114,"clean_read_LEED","financial_yr_indicators_erp_moh","ADHD","Longitudinal Employee-Employer Database","IRD",NA
115,"clean_read_LEED","financial_yr_indicators_erp_moh","age_eoy","Longitudinal Employee-Employer Database","IRD",NA
116,"clean_read_LEED","financial_yr_indicators_erp_moh","Any_mh","Longitudinal Employee-Employer Database","IRD",NA
117,"clean_read_LEED","financial_yr_indicators_erp_moh","ben_eoy","Longitudinal Employee-Employer Database","IRD",NA
118,"clean_read_LEED","financial_yr_indicators_erp_moh","ben_gross_amt","Longitudinal Employee-Employer Database","IRD",NA
119,"clean_read_LEED","financial_yr_indicators_erp_moh","ben_n_days","Longitudinal Employee-Employer Database","IRD",NA
120,"clean_read_LEED","financial_yr_indicators_erp_moh","Community_Care","Longitudinal Employee-Employer Database","IRD",NA
121,"clean_read_LEED","financial_yr_indicators_erp_moh","cyfs_highest_cnp","Longitudinal Employee-Employer Database","IRD",NA
122,"clean_read_LEED","financial_yr_indicators_erp_moh","cyfs_highest_cnp_last5","Longitudinal Employee-Employer Database","IRD",NA
123,"clean_read_LEED","financial_yr_indicators_erp_moh","cyfs_highest_yj","Longitudinal Employee-Employer Database","IRD",NA
124,"clean_read_LEED","financial_yr_indicators_erp_moh","cyfs_highest_yj_last5","Longitudinal Employee-Employer Database","IRD",NA
125,"clean_read_LEED","financial_yr_indicators_erp_moh","dep_index_2013","Longitudinal Employee-Employer Database","IRD",NA
126,"clean_read_LEED","financial_yr_indicators_erp_moh","dob","Longitudinal Employee-Employer Database","IRD",NA
127,"clean_read_LEED","financial_yr_indicators_erp_moh","dod","Longitudinal Employee-Employer Database","IRD",NA
128,"clean_read_LEED","financial_yr_indicators_erp_moh","Eating","Longitudinal Employee-Employer Database","IRD",NA
129,"clean_read_LEED","financial_yr_indicators_erp_moh","edu_highest_qual_to_date","Longitudinal Employee-Employer Database","IRD",NA
130,"clean_read_LEED","financial_yr_indicators_erp_moh","edu_n_standdowns","Longitudinal Employee-Employer Database","IRD",NA
131,"clean_read_LEED","financial_yr_indicators_erp_moh","edu_n_suspensions","Longitudinal Employee-Employer Database","IRD",NA
132,"clean_read_LEED","financial_yr_indicators_erp_moh","Emergency","Longitudinal Employee-Employer Database","IRD",NA
133,"clean_read_LEED","financial_yr_indicators_erp_moh","end_date","Longitudinal Employee-Employer Database","IRD",NA
134,"clean_read_LEED","financial_yr_indicators_erp_moh","erp","Longitudinal Employee-Employer Database","IRD",NA
135,"clean_read_LEED","financial_yr_indicators_erp_moh","ethnicity_asn","Longitudinal Employee-Employer Database","IRD",NA
136,"clean_read_LEED","financial_yr_indicators_erp_moh","ethnicity_eur","Longitudinal Employee-Employer Database","IRD",NA
137,"clean_read_LEED","financial_yr_indicators_erp_moh","ethnicity_mao","Longitudinal Employee-Employer Database","IRD",NA
138,"clean_read_LEED","financial_yr_indicators_erp_moh","ethnicity_mla","Longitudinal Employee-Employer Database","IRD",NA
139,"clean_read_LEED","financial_yr_indicators_erp_moh","ethnicity_oth","Longitudinal Employee-Employer Database","IRD",NA
140,"clean_read_LEED","financial_yr_indicators_erp_moh","ethnicity_pac","Longitudinal Employee-Employer Database","IRD",NA
141,"clean_read_LEED","financial_yr_indicators_erp_moh","exposure","Longitudinal Employee-Employer Database","IRD",NA
142,"clean_read_LEED","financial_yr_indicators_erp_moh","fin_yr","Longitudinal Employee-Employer Database","IRD",NA
143,"clean_read_LEED","financial_yr_indicators_erp_moh","ftf_ind","Longitudinal Employee-Employer Database","IRD",NA
144,"clean_read_LEED","financial_yr_indicators_erp_moh","income_tot","Longitudinal Employee-Employer Database","IRD",NA
145,"clean_read_LEED","financial_yr_indicators_erp_moh","income_wlf","Longitudinal Employee-Employer Database","IRD",NA
146,"clean_read_LEED","financial_yr_indicators_erp_moh","Inpatient","Longitudinal Employee-Employer Database","IRD",NA
147,"clean_read_LEED","financial_yr_indicators_erp_moh","jus_max_serious_chg","Longitudinal Employee-Employer Database","IRD",NA
148,"clean_read_LEED","financial_yr_indicators_erp_moh","jus_max_serious_chg_last5","Longitudinal Employee-Employer Database","IRD",NA
149,"clean_read_LEED","financial_yr_indicators_erp_moh","jus_max_serious_last5","Longitudinal Employee-Employer Database","IRD",NA
150,"clean_read_LEED","financial_yr_indicators_erp_moh","jus_max_serious_off","Longitudinal Employee-Employer Database","IRD",NA
151,"clean_read_LEED","financial_yr_indicators_erp_moh","jus_max_serious_off_last5","Longitudinal Employee-Employer Database","IRD",NA
152,"clean_read_LEED","financial_yr_indicators_erp_moh","jus_max_serious_vic","Longitudinal Employee-Employer Database","IRD",NA
153,"clean_read_LEED","financial_yr_indicators_erp_moh","jus_n_convictions","Longitudinal Employee-Employer Database","IRD",NA
154,"clean_read_LEED","financial_yr_indicators_erp_moh","jus_n_convictions_last5","Longitudinal Employee-Employer Database","IRD",NA
155,"clean_read_LEED","financial_yr_indicators_erp_moh","jus_n_days_cmmnty","Longitudinal Employee-Employer Database","IRD",NA
156,"clean_read_LEED","financial_yr_indicators_erp_moh","jus_n_days_prison","Longitudinal Employee-Employer Database","IRD",NA
157,"clean_read_LEED","financial_yr_indicators_erp_moh","jus_n_days_remand","Longitudinal Employee-Employer Database","IRD",NA
158,"clean_read_LEED","financial_yr_indicators_erp_moh","jus_n_offences","Longitudinal Employee-Employer Database","IRD",NA
159,"clean_read_LEED","financial_yr_indicators_erp_moh","jus_n_offences_last5","Longitudinal Employee-Employer Database","IRD",NA
160,"clean_read_LEED","financial_yr_indicators_erp_moh","jus_n_victimisations","Longitudinal Employee-Employer Database","IRD",NA
161,"clean_read_LEED","financial_yr_indicators_erp_moh","jus_prison_eoy","Longitudinal Employee-Employer Database","IRD",NA
162,"clean_read_LEED","financial_yr_indicators_erp_moh","jus_remand_eoy","Longitudinal Employee-Employer Database","IRD",NA
163,"clean_read_LEED","financial_yr_indicators_erp_moh","Justice","Longitudinal Employee-Employer Database","IRD",NA
164,"clean_read_LEED","financial_yr_indicators_erp_moh","LABS","Longitudinal Employee-Employer Database","IRD",NA
165,"clean_read_LEED","financial_yr_indicators_erp_moh","meshblock_code","Longitudinal Employee-Employer Database","IRD",NA
166,"clean_read_LEED","financial_yr_indicators_erp_moh","mh_new_entrant_flag","Longitudinal Employee-Employer Database","IRD",NA
167,"clean_read_LEED","financial_yr_indicators_erp_moh","mh_relapse_flag","Longitudinal Employee-Employer Database","IRD",NA
168,"clean_read_LEED","financial_yr_indicators_erp_moh","Mood_anxiety","Longitudinal Employee-Employer Database","IRD",NA
169,"clean_read_LEED","financial_yr_indicators_erp_moh","neet_eoy","Longitudinal Employee-Employer Database","IRD",NA
170,"clean_read_LEED","financial_yr_indicators_erp_moh","neet_n_days","Longitudinal Employee-Employer Database","IRD",NA
171,"clean_read_LEED","financial_yr_indicators_erp_moh","NMDS","Longitudinal Employee-Employer Database","IRD",NA
172,"clean_read_LEED","financial_yr_indicators_erp_moh","os_eoy","Longitudinal Employee-Employer Database","IRD",NA
173,"clean_read_LEED","financial_yr_indicators_erp_moh","os_n_days","Longitudinal Employee-Employer Database","IRD",NA
174,"clean_read_LEED","financial_yr_indicators_erp_moh","Other","Longitudinal Employee-Employer Database","IRD",NA
175,"clean_read_LEED","financial_yr_indicators_erp_moh","Other_Unknown","Longitudinal Employee-Employer Database","IRD",NA
176,"clean_read_LEED","financial_yr_indicators_erp_moh","Outpatient","Longitudinal Employee-Employer Database","IRD",NA
177,"clean_read_LEED","financial_yr_indicators_erp_moh","PERIOD_END_DATE","Longitudinal Employee-Employer Database","IRD",NA
178,"clean_read_LEED","financial_yr_indicators_erp_moh","PERIOD_START_DATE","Longitudinal Employee-Employer Database","IRD",NA
179,"clean_read_LEED","financial_yr_indicators_erp_moh","Personality","Longitudinal Employee-Employer Database","IRD",NA
180,"clean_read_LEED","financial_yr_indicators_erp_moh","PHARMS","Longitudinal Employee-Employer Database","IRD",NA
181,"clean_read_LEED","financial_yr_indicators_erp_moh","Primary_Care","Longitudinal Employee-Employer Database","IRD",NA
182,"clean_read_LEED","financial_yr_indicators_erp_moh","PRIMHD","Longitudinal Employee-Employer Database","IRD",NA
183,"clean_read_LEED","financial_yr_indicators_erp_moh","Psychotic","Longitudinal Employee-Employer Database","IRD",NA
184,"clean_read_LEED","financial_yr_indicators_erp_moh","referral_end_code","Longitudinal Employee-Employer Database","IRD",NA
185,"clean_read_LEED","financial_yr_indicators_erp_moh","referral_end_date","Longitudinal Employee-Employer Database","IRD",NA
186,"clean_read_LEED","financial_yr_indicators_erp_moh","sex","Longitudinal Employee-Employer Database","IRD",NA
187,"clean_read_LEED","financial_yr_indicators_erp_moh","snz_idi_address_register_uid","Longitudinal Employee-Employer Database","IRD",NA
188,"clean_read_LEED","financial_yr_indicators_erp_moh","snz_moh_uid","Longitudinal Employee-Employer Database","IRD",NA
189,"clean_read_LEED","financial_yr_indicators_erp_moh","snz_uid","Longitudinal Employee-Employer Database","IRD",NA
190,"clean_read_LEED","financial_yr_indicators_erp_moh","start_date","Longitudinal Employee-Employer Database","IRD",NA
191,"clean_read_LEED","financial_yr_indicators_erp_moh","Substance_use","Longitudinal Employee-Employer Database","IRD",NA
192,"clean_read_LEED","j3erp_by_yr_20181020","AGE_EOY","Longitudinal Employee-Employer Database","IRD",NA
193,"clean_read_LEED","j3erp_by_yr_20181020","DOB","Longitudinal Employee-Employer Database","IRD",NA
194,"clean_read_LEED","j3erp_by_yr_20181020","DOD","Longitudinal Employee-Employer Database","IRD",NA
195,"clean_read_LEED","j3erp_by_yr_20181020","DTH","Longitudinal Employee-Employer Database","IRD",NA
196,"clean_read_LEED","j3erp_by_yr_20181020","EXP","Longitudinal Employee-Employer Database","IRD",NA
197,"clean_read_LEED","j3erp_by_yr_20181020","SEX","Longitudinal Employee-Employer Database","IRD",NA
198,"clean_read_LEED","j3erp_by_yr_20181020","SNZ_UID","Longitudinal Employee-Employer Database","IRD",NA
199,"clean_read_LEED","j3erp_by_yr_20181020","STATUS","Longitudinal Employee-Employer Database","IRD",NA
200,"clean_read_LEED","j3erp_by_yr_20181020","YEAR","Longitudinal Employee-Employer Database","IRD",NA
201,"clean_read_LEED","leed_to_xref_ileed_ird_uid","ileed_ird_uid","Longitudinal Employee-Employer Database","IRD",NA
202,"clean_read_LEED","leed_to_xref_ileed_ird_uid","leed_ird_uid","Longitudinal Employee-Employer Database","IRD",NA
203,"clean_read_LEED","mb13_lma_lmc_DaveMare","au01","Longitudinal Employee-Employer Database","IRD",NA
204,"clean_read_LEED","mb13_lma_lmc_DaveMare","au01_desc","Longitudinal Employee-Employer Database","IRD",NA
205,"clean_read_LEED","mb13_lma_lmc_DaveMare","au06","Longitudinal Employee-Employer Database","IRD",NA
206,"clean_read_LEED","mb13_lma_lmc_DaveMare","au06_desc","Longitudinal Employee-Employer Database","IRD",NA
207,"clean_read_LEED","mb13_lma_lmc_DaveMare","au13","Longitudinal Employee-Employer Database","IRD",NA
208,"clean_read_LEED","mb13_lma_lmc_DaveMare","au13_desc","Longitudinal Employee-Employer Database","IRD",NA
209,"clean_read_LEED","mb13_lma_lmc_DaveMare","cb06","Longitudinal Employee-Employer Database","IRD",NA
210,"clean_read_LEED","mb13_lma_lmc_DaveMare","cb06v2","Longitudinal Employee-Employer Database","IRD",NA
211,"clean_read_LEED","mb13_lma_lmc_DaveMare","cb13","Longitudinal Employee-Employer Database","IRD",NA
212,"clean_read_LEED","mb13_lma_lmc_DaveMare","cb13_desc","Longitudinal Employee-Employer Database","IRD",NA
213,"clean_read_LEED","mb13_lma_lmc_DaveMare","con06","Longitudinal Employee-Employer Database","IRD",NA
214,"clean_read_LEED","mb13_lma_lmc_DaveMare","const13","Longitudinal Employee-Employer Database","IRD",NA
215,"clean_read_LEED","mb13_lma_lmc_DaveMare","const13_desc","Longitudinal Employee-Employer Database","IRD",NA
216,"clean_read_LEED","mb13_lma_lmc_DaveMare","dhb","Longitudinal Employee-Employer Database","IRD",NA
217,"clean_read_LEED","mb13_lma_lmc_DaveMare","dhb_constituency","Longitudinal Employee-Employer Database","IRD",NA
218,"clean_read_LEED","mb13_lma_lmc_DaveMare","dhb_constituency_desc","Longitudinal Employee-Employer Database","IRD",NA
219,"clean_read_LEED","mb13_lma_lmc_DaveMare","dhb_desc","Longitudinal Employee-Employer Database","IRD",NA
220,"clean_read_LEED","mb13_lma_lmc_DaveMare","ged02","Longitudinal Employee-Employer Database","IRD",NA
221,"clean_read_LEED","mb13_lma_lmc_DaveMare","ged07","Longitudinal Employee-Employer Database","IRD",NA
222,"clean_read_LEED","mb13_lma_lmc_DaveMare","ged07_desc","Longitudinal Employee-Employer Database","IRD",NA
223,"clean_read_LEED","mb13_lma_lmc_DaveMare","health_domicile_2006","Longitudinal Employee-Employer Database","IRD",NA
224,"clean_read_LEED","mb13_lma_lmc_DaveMare","lma91_au01","Longitudinal Employee-Employer Database","IRD",NA
225,"clean_read_LEED","mb13_lma_lmc_DaveMare","lma91_au01_n141","Longitudinal Employee-Employer Database","IRD",NA
226,"clean_read_LEED","mb13_lma_lmc_DaveMare","lma91_au01_n141_n","Longitudinal Employee-Employer Database","IRD",NA
227,"clean_read_LEED","mb13_lma_lmc_DaveMare","lmc06","Longitudinal Employee-Employer Database","IRD",NA
228,"clean_read_LEED","mb13_lma_lmc_DaveMare","lmc06_desc","Longitudinal Employee-Employer Database","IRD",NA
229,"clean_read_LEED","mb13_lma_lmc_DaveMare","lmr06","Longitudinal Employee-Employer Database","IRD",NA
230,"clean_read_LEED","mb13_lma_lmc_DaveMare","lmr06_desc","Longitudinal Employee-Employer Database","IRD",NA
231,"clean_read_LEED","mb13_lma_lmc_DaveMare","mb01","Longitudinal Employee-Employer Database","IRD",NA
232,"clean_read_LEED","mb13_lma_lmc_DaveMare","mb06","Longitudinal Employee-Employer Database","IRD",NA
233,"clean_read_LEED","mb13_lma_lmc_DaveMare","mb07","Longitudinal Employee-Employer Database","IRD",NA
234,"clean_read_LEED","mb13_lma_lmc_DaveMare","mb08","Longitudinal Employee-Employer Database","IRD",NA
